x,y,theta,v,omega
3.114658,4.184539,3.017132,0.476425,0.233463
3.067319,4.189901,3.040479,0.497587,-0.384645
2.877916,4.230197,2.782239,0.450793,-1.217655
4.847481,5.770644,-4.206404,0.081622,2.0
4.831596,5.788132,-3.806404,0.214323,2.0
4.813522,5.799585,-3.606404,0.32252,2.0
4.747395,5.817068,-3.206404,0.404458,1.647153
4.707001,5.816359,-3.041689,0.393622,1.401056
4.668237,5.809707,-2.901584,0.484518,0.809774
4.576062,5.780086,-2.779853,0.5,0.346041
2.277071,2.430296,0.318053,0.481517,0.817125
2.322142,2.447205,0.399765,0.435225,1.117951
3.038458,4.877084,-2.903577,0.5,-0.238724
2.989732,4.865876,-2.927449,0.485457,0.360666
2.855164,4.826069,-2.709189,0.38546,1.374628
5.730376,3.369048,1.422402,0.499594,0.654719
5.241152,5.759818,0.331161,0.476176,-0.042277
4.958254,2.496275,3.067692,0.5,0.119163
4.764813,2.499591,3.242581,0.474153,0.971285
4.984968,2.472633,2.843434,0.492931,0.489297
2.393804,5.797703,-2.374234,0.240239,2.0
2.37829,5.779413,-2.174234,0.294135,2.0
3.340758,4.120574,0.142872,0.46686,-0.101686
3.630467,4.152578,0.072615,0.494505,-0.316735
3.679836,4.155384,0.040941,0.5,-0.101821
3.827185,4.159953,0.023265,0.5,-0.105229
3.877177,4.160853,0.012742,0.49483,0.019197
3.926655,4.161531,0.014662,0.465719,-0.061953
5.779585,1.268919,-1.593026,0.407224,-1.524308
1.799659,0.22545,-0.565412,0.217972,2.0
1.917046,0.211164,0.201846,0.428494,1.227733
1.958394,0.222307,0.324619,0.460864,0.831281
2.468873,2.927541,4.771391,0.5,0.118074
2.472116,2.877646,4.783198,0.493873,0.228174
2.476172,2.828427,4.806016,0.496859,-0.072188
1.323205,3.092282,0.263151,0.5,-0.003071
4.454535,5.808133,-2.432942,0.5,-0.034555
4.416517,5.775658,-2.436398,0.485649,-0.016574
5.842346,4.351725,-1.215091,0.360833,-1.711832
5.851963,4.316993,-1.386274,0.432403,-1.434704
5.856826,4.274064,-1.529745,0.45205,-1.288481
5.85577,4.228902,-1.658593,0.484398,-0.695454
5.816098,4.037627,-1.852666,0.5,-0.045669
5.802081,3.989632,-1.857233,0.5,-0.04764
5.78784,3.941703,-1.861997,0.477736,-0.002836
2.810518,0.537268,-2.674987,0.485948,-0.782442
0.919701,2.431022,0.163828,0.467924,-0.78973
0.96612,2.436824,0.084855,0.463366,-0.86102
1.012401,2.43876,-0.001247,0.5,-0.785758
1.062347,2.436734,-0.079823,0.494006,-0.225942
1.111542,2.432239,-0.102417,0.5,-0.111644
1.254239,2.433116,0.216133,0.48333,-1.063378
1.301909,2.440954,0.109796,0.471654,-0.773727
1.348943,2.444304,0.032423,0.447885,-0.689302
1.393723,2.444213,-0.036507,0.496716,-0.536313
1.443289,2.44107,-0.090139,0.492575,-0.294572
1.492274,2.435914,-0.119596,0.5,-0.260378
5.763885,1.791878,-1.515038,0.49601,-0.156206
5.766262,1.742335,-1.530659,0.5,0.027481
5.768337,1.692378,-1.527911,0.5,0.096903
5.770723,1.642435,-1.518221,0.492305,-0.054587
5.773176,1.593266,-1.523679,0.482851,-0.116575
5.795182,1.205151,-1.50361,0.5,-0.155079
1.819688,3.120424,-0.371413,0.457977,0.799193
1.90514,3.094443,-0.222595,0.5,0.718999
2.00383,3.078638,-0.111212,0.5,0.583182
2.053655,3.074541,-0.052894,0.488583,0.306598
2.102477,3.072706,-0.022234,0.499238,0.050614
2.152391,3.071722,-0.017173,0.476124,-0.282668
2.199978,3.070232,-0.045439,0.5,-0.718772
2.249802,3.066168,-0.117317,0.499483,-0.789044
