x,y,theta,v,omega
3.411637,3.333991,-2.037601,0.488465,0.620709
3.085206,2.636873,1.082163,0.480026,-0.275596
3.108321,2.678942,1.054603,0.5,0.057545
1.015575,0.590833,2.939435,0.5,-0.02607
0.966606,0.600936,2.936828,0.5,-0.057641
3.251809,3.386291,2.905288,0.5,-0.056931
2.62515,3.502851,3.058041,0.5,0.047822
0.186941,1.401809,1.939381,0.178185,-2.0
0.180476,1.44435,1.539381,0.300644,-2.0
0.19536,1.506893,1.157528,0.397067,-1.513718
0.213993,1.541913,1.006157,0.404069,-1.445133
0.792821,1.949936,0.69626,0.494925,-0.058746
1.14852,2.279483,0.754678,0.498863,-0.008484
2.234934,3.277295,0.73708,0.493012,0.063181
2.497703,0.694597,1.478442,0.485087,-0.519737
1.235994,1.201428,-3.18621,0.486041,0.033146
2.914453,2.792544,0.066875,0.5,-0.078677
3.011309,2.798533,0.061952,0.5,0.041918
3.379787,1.499354,2.329517,0.497439,-0.535015
2.895207,3.789814,-2.31683,0.29367,2.0
3.060516,3.021275,-1.284392,0.48902,-0.344107
3.364074,1.433474,-1.401102,0.5,-0.069824
1.498515,3.241577,2.461224,0.5,0.031125
1.225552,3.452679,2.504837,0.5,-0.020864
