x,y,theta,v,omega
0.780388,3.434259,1.156642,0.499997,-0.452019
0.801536,3.479561,1.11144,0.499998,-0.478878
1.165009,3.861166,0.463552,0.401567,-0.513156
1.361467,3.930323,0.224653,0.446807,-0.420819
1.544078,3.956611,0.068377,0.483434,-0.340585
0.808353,3.636509,1.107411,0.499999,-0.524319
1.379416,4.053412,0.162202,0.47003,-0.429906
1.571563,4.068683,0.003525,0.496954,-0.342046
2.113369,3.987,-0.26508,0.499977,-0.138868
2.683174,3.799604,-0.337261,0.499979,0.028111
0.028443,-5.5e-05,-0.003854,0.284556,-0.036831
0.227905,-0.003135,-0.025193,0.285554,-0.020278
0.427851,-0.009179,-0.032587,0.285766,0.003203
0.598974,-0.014305,-0.025146,0.284391,0.025512
0.796969,-0.017027,0.000828,0.280313,0.052813
0.991111,-0.012784,0.046333,0.272878,0.081577
1.178281,0.00174,0.112491,0.261125,0.112112
1.354091,0.02907,0.200581,0.244009,0.144493
1.554878,0.084548,0.348054,0.215851,0.188502
1.743352,0.175386,0.558895,0.22045,0.236635
1.780905,0.200145,0.606604,0.241183,0.243754
1.91584,0.310631,0.754829,0.385624,0.242532
2.004211,0.400165,0.825571,0.481565,0.217621
2.132417,0.551191,0.903996,0.5,0.1551
2.163035,0.59072,0.919506,0.5,0.137208
2.308707,0.793859,0.971346,0.5,0.059076
2.419904,0.960094,0.988612,0.5,0.021493
2.502037,1.08561,0.993377,0.5,0.006791
2.556573,1.16943,0.994435,0.5,0.001534
2.692821,1.37904,0.994002,0.5,-0.002658
2.801977,1.546625,0.992972,0.5,-0.002142
2.883945,1.672249,0.992411,0.5,-0.001336
2.911281,1.714114,0.992277,0.5,-0.001087
3.048021,1.923403,0.991928,0.5,-0.000268
3.239519,2.216368,0.991776,0.5,-0.000436
3.431118,2.509267,0.99108,0.5,-0.001886
3.623061,2.80194,0.989603,0.5,-0.00104
4.002601,3.390073,1.025105,0.5,0.093604
4.078469,3.519464,1.058001,0.5,0.143177
0.406984,0.007363,0.042005,0.252554,0.03954
2.13401,0.852908,0.904342,0.499999,0.068695
2.462015,1.547105,0.869833,0.499999,0.003287
1.192061,0.957811,0.678549,0.280874,-0.137486
1.465756,1.145084,0.531012,0.427342,-0.134283
1.84486,1.343817,0.455555,0.499982,-0.007184
3.824812,2.980883,0.964309,0.499954,0.140169
3.984506,3.234684,1.0578,0.499947,0.179497
4.008651,3.278461,1.07575,0.499945,0.186753
0.767056,0.590358,0.992318,0.31308,0.120026
0.849573,0.725098,1.048587,0.320059,0.101758
0.880997,0.780998,1.0686,0.322324,0.095065
0.970119,0.954276,1.120952,0.32804,0.076789
1.065587,1.165377,1.168798,0.335882,0.056999
1.168419,1.421421,1.204602,0.363569,0.024543
1.207929,1.525428,1.209922,0.387802,0.002026
1.35112,1.889168,1.16256,0.481594,-0.145044
1.370559,1.93323,1.148055,0.483935,-0.167962
0.599384,0.560487,1.062753,0.380066,0.137374
1.125396,1.724758,1.089348,0.390203,-0.128158
0.895569,1.556232,1.261732,0.473164,-0.05866
0.955232,1.734728,1.232027,0.465185,-0.100591
1.020273,1.90717,1.185304,0.452424,-0.144172
1.111654,2.109322,1.102037,0.429389,-0.200165
0.907544,1.929334,1.338261,0.499822,-0.088255
0.95742,2.122929,1.296192,0.499896,-0.134219
1.017189,2.313716,1.235098,0.499385,-0.184505
1.089987,2.498747,1.153294,0.490709,-0.23835
1.176882,2.671019,1.049796,0.465359,-0.292049
0.949778,2.30411,1.412551,0.499991,-0.100133
1.032536,2.695227,1.298741,0.49999,-0.20378
1.094594,2.885278,1.207523,0.499989,-0.270267
1.176177,3.067748,1.088714,0.499989,-0.341634
1.929804,3.631923,0.161565,0.406259,-0.27481
0.956315,2.504692,1.393137,0.499998,-0.043144
1.07559,3.041331,1.284796,0.499998,-0.197243
1.140311,3.230492,1.191252,0.499998,-0.299034
1.159527,3.276649,1.161349,0.499998,-0.3268
1.226193,3.410941,1.055001,0.499998,-0.408188
1.741981,3.837561,0.262905,0.370293,-0.394691
1.934925,3.870136,0.082445,0.424869,-0.309372
4.211557,3.786916,1.006008,0.012136,0.532964
4.212179,3.787957,1.059305,-0.001012,0.536034
0.926965,2.655252,1.375761,0.499999,-0.015958
0.966574,2.851289,1.365262,0.499999,-0.048588
1.128192,3.428146,1.171224,0.499999,-0.354041
2.876913,3.790398,-0.275039,0.499951,0.023484
0.785871,-0.068592,-0.126066,0.333649,0.013465
0.983953,-0.092362,-0.109442,0.330154,0.047819
1.179483,-0.110496,-0.071937,0.322397,0.08336
1.369741,-0.118933,-0.012706,0.309399,0.120574
1.431343,-0.118964,0.012047,0.303688,0.133385
1.550745,-0.114226,0.069308,0.289934,0.159585
1.743019,-0.089408,0.195127,0.258449,0.2069
1.928092,-0.035894,0.379851,0.221907,0.261539
2.02714,0.011599,0.517061,0.225082,0.292552
2.107028,0.063714,0.636926,0.272663,0.308849
2.257458,0.200315,0.821015,0.451093,0.288909
2.318946,0.270317,0.877584,0.499967,0.26177
2.41035,0.389204,0.950645,0.499999,0.203845
2.493962,0.513717,1.005403,0.499999,0.140614
2.546385,0.598871,1.031569,0.499999,0.102842
2.596882,0.685183,1.050474,0.499999,0.071266
2.646007,0.772284,1.063405,0.499999,0.046511
2.6702,0.816041,1.068056,0.499999,0.036602
2.76552,0.991864,1.0782,0.499999,0.010768
2.859827,1.168233,1.080597,0.499999,0.00035
2.954006,1.344671,1.080186,0.499999,-0.002324
3.048322,1.521035,1.079251,0.499999,-0.002067
3.166419,1.741383,1.078431,0.499999,-0.001034
3.237344,1.873555,1.078166,0.499999,-0.000643
3.260993,1.917609,1.078102,0.499999,-0.000573
3.355612,2.093811,1.077884,0.499999,-0.00059
